Zip Code,day,count
76574.0,Wednesday,1
78610.0,Friday,12
78610.0,Monday,9
78610.0,Saturday,9
78610.0,Sunday,5
78610.0,Thursday,9
78610.0,Tuesday,10
78610.0,Wednesday,10
78612.0,Sunday,1
78612.0,Tuesday,1
78612.0,Wednesday,1
78613.0,Friday,795
78613.0,Monday,688
78613.0,Saturday,969
78613.0,Sunday,752
78613.0,Thursday,751
78613.0,Tuesday,729
78613.0,Wednesday,743
78617.0,Friday,1636
78617.0,Monday,1486
78617.0,Saturday,1581
78617.0,Sunday,1593
78617.0,Thursday,1511
78617.0,Tuesday,1566
78617.0,Wednesday,1547
78619.0,Wednesday,1
78626.0,Thursday,1
78640.0,Friday,1
78640.0,Monday,3
78640.0,Wednesday,3
78641.0,Friday,4
78641.0,Monday,1
78641.0,Saturday,3
78641.0,Sunday,1
78641.0,Tuesday,3
78641.0,Wednesday,2
78645.0,Saturday,1
78645.0,Thursday,1
78645.0,Tuesday,1
78652.0,Friday,66
78652.0,Monday,64
78652.0,Saturday,71
78652.0,Sunday,70
78652.0,Thursday,69
78652.0,Tuesday,65
78652.0,Wednesday,72
78653.0,Friday,218
78653.0,Monday,213
78653.0,Saturday,192
78653.0,Sunday,190
78653.0,Thursday,189
78653.0,Tuesday,161
78653.0,Wednesday,194
78660.0,Friday,808
78660.0,Monday,720
78660.0,Saturday,815
78660.0,Sunday,714
78660.0,Thursday,749
78660.0,Tuesday,724
78660.0,Wednesday,752
78664.0,Friday,8
78664.0,Monday,7
78664.0,Saturday,5
78664.0,Sunday,7
78664.0,Thursday,13
78664.0,Tuesday,12
78664.0,Wednesday,13
78669.0,Monday,1
78681.0,Friday,6
78681.0,Monday,15
78681.0,Saturday,8
78681.0,Sunday,5
78681.0,Thursday,7
78681.0,Tuesday,11
78681.0,Wednesday,10
78701.0,Friday,15991
78701.0,Monday,11311
78701.0,Saturday,16611
78701.0,Sunday,15758
78701.0,Thursday,12217
78701.0,Tuesday,10718
78701.0,Wednesday,11302
78702.0,Friday,10337
78702.0,Monday,9426
78702.0,Saturday,10484
78702.0,Sunday,9532
78702.0,Thursday,9588
78702.0,Tuesday,9447
78702.0,Wednesday,9600
78703.0,Friday,3390
78703.0,Monday,2704
78703.0,Saturday,3073
78703.0,Sunday,2596
78703.0,Thursday,3089
78703.0,Tuesday,2764
78703.0,Wednesday,2931
78704.0,Friday,13426
78704.0,Monday,11967
78704.0,Saturday,12437
78704.0,Sunday,11137
78704.0,Thursday,12435
78704.0,Tuesday,12070
78704.0,Wednesday,12509
78705.0,Friday,4945
78705.0,Monday,4128
78705.0,Saturday,4726
78705.0,Sunday,4254
78705.0,Thursday,4213
78705.0,Tuesday,4236
